ID PDC local;Statut du point de recharge;URL Description Point de charge;Heure mise Ã  jour;coordonneesXY;adresse_station;code_insee_commune;arrondissement
FR*V75*EPX18*16*6;Disponible;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX18*16*6;2025-01-06T03:30:05+00:00;48.885006, 2.3475914;16 Rue Sofia 75018 Paris;75118;18e Arrondissement
FR*V75*EPX18*15*6;Disponible;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX18*15*6;2025-01-06T06:49:08+00:00;48.892082, 2.3331354;220 Rue Marcadet 75018 Paris;75118;18e Arrondissement
FR*V75*EPX18*01*5;Disponible;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX18*01*5;2025-01-06T03:30:05+00:00;48.898304, 2.3423252;1 Rue Fernand Labori 75018 Paris;75118;18e Arrondissement
FR*V75*EPX18*10*4;Disponible;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX18*10*4;2025-01-06T03:30:05+00:00;48.8823, 2.3395;2 Boulevard de Clichy 75018 Paris;75118;18e Arrondissement
FR*V75*EPX18*10*5;Disponible;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX18*10*5;2025-01-06T03:30:05+00:00;48.8823, 2.3395;2 Boulevard de Clichy 75018 Paris;75118;18e Arrondissement
FR*V75*EPX18*06*5;Disponible;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX18*06*5;2025-01-06T07:31:18+00:00;48.8913, 2.3385;150 Rue Marcadet 75018 Paris;75118;18e Arrondissement
FR*V75*EPX18*04*3;Disponible;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX18*04*3;2025-01-06T03:30:05+00:00;48.887253, 2.3330069;17 Rue Caulaincourt 75018 Paris;75118;18e Arrondissement
FR*V75*EPX18*07*5;En maintenance;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX18*07*5;2025-01-06T03:30:05+00:00;48.8861, 2.3591;1 Rue Jean-FranÃ§ois LÃ©pine 75018 Paris;75118;18e Arrondissement
FR*V75*EPX18*05*4;Disponible;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX18*05*4;2025-01-06T07:38:06+00:00;48.88836, 2.3480344;17 Rue Custine 75018 Paris;75118;18e Arrondissement
FR*V75*EPX18*06*7;OccupÃ© (en charge);https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX18*06*7;2025-01-06T07:53:46+00:00;48.8913, 2.3385;150 Rue Marcadet 75018 Paris;75118;18e Arrondissement
FR*V75*EPX18*08*1;Disponible;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX18*08*1;2025-01-06T07:47:40+00:00;48.8954, 2.35;28 Rue Championnet 75018 Paris;75118;18e Arrondissement
FR*V75*EPX18*06*6;Disponible;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX18*06*6;2025-01-06T07:46:20+00:00;48.8913, 2.3385;150 Rue Marcadet 75018 Paris;75118;18e Arrondissement
FR*V75*E9018*03*1;Disponible;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*E9018*03*1;2025-01-06T03:30:05+00:00;48.89767, 2.352758;150 Rue des Poissonniers 75018 Paris;75118;18e Arrondissement
FR*V75*E9018*03*2;Disponible;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*E9018*03*2;2025-01-06T03:30:05+00:00;48.89767, 2.352758;150 Rue des Poissonniers 75018 Paris;75118;18e Arrondissement
FR*V75*EPX18*16*4;Disponible;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX18*16*4;2025-01-06T05:46:18+00:00;48.885006, 2.3475914;16 Rue Sofia 75018 Paris;75118;18e Arrondissement
FR*V75*EPX18*02*2;Disponible;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX18*02*2;2025-01-06T03:30:05+00:00;48.89919, 2.330375;48 Rue Henri Huchard 75018 Paris;75118;18e Arrondissement
FR*V75*EPX18*08*5;OccupÃ© (en charge);https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX18*08*5;2025-01-06T07:46:40+00:00;48.8954, 2.35;28 Rue Championnet 75018 Paris;75118;18e Arrondissement
FR*V75*EPX18*07*3;OccupÃ© (en charge);https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX18*07*3;2025-01-06T07:50:04+00:00;48.8861, 2.3591;1 Rue Jean-FranÃ§ois LÃ©pine 75018 Paris;75118;18e Arrondissement
FR*V75*EPX18*05*1;Disponible;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX18*05*1;2025-01-06T07:06:53+00:00;48.88836, 2.3480344;17 Rue Custine 75018 Paris;75118;18e Arrondissement
FR*V75*EPX18*11*1;Disponible;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX18*11*1;2025-01-06T07:52:38+00:00;48.88508, 2.3375535;1bis Rue Ravignan 75018 Paris;75118;18e Arrondissement
FR*V75*EPX18*03*3;Disponible;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX18*03*3;2025-01-06T03:30:05+00:00;48.89905, 2.3649826;52 Rue Charles Hermite 75018 Paris;75118;18e Arrondissement
